epoch,step,train_acc,train_loss,val_acc,val_loss
0,78,,,0.42410001158714294,2.156207799911499
0,78,0.6997500061988831,0.5940979719161987,,
1,157,,,0.2921000123023987,2.371553421020508
1,157,0.7193999886512756,0.5627892017364502,,
2,236,,,0.3346000015735626,2.172595739364624
2,236,0.7095500230789185,0.5759276151657104,,
3,315,,,0.3880000114440918,2.2186636924743652
3,315,0.7175499796867371,0.5547817349433899,,
4,394,,,0.3686999976634979,2.256035566329956
4,394,0.7213500142097473,0.5325986742973328,,
5,473,,,0.33809998631477356,2.422086238861084
5,473,0.7255499958992004,0.5314056873321533,,
6,552,,,0.30219998955726624,2.6177444458007812
6,552,0.736050009727478,0.5110998153686523,,
7,631,,,0.3540000021457672,2.2232205867767334
7,631,0.7358499765396118,0.5359219908714294,,
8,710,,,0.3400999903678894,2.435453414916992
8,710,0.7601500153541565,0.45352691411972046,,
9,789,,,0.274399995803833,2.8728959560394287
9,789,0.7618499994277954,0.44018247723579407,,
10,868,,,0.3569999933242798,2.3893823623657227
10,868,0.7582499980926514,0.45516112446784973,,
