epoch,step,train_acc,train_loss,val_acc,val_loss
0,78,,,0.3497999906539917,1.7382093667984009
0,78,0.4187000095844269,1.3568127155303955,,
1,157,,,0.2720000147819519,1.8154572248458862
1,157,0.526199996471405,1.0219379663467407,,
2,236,,,0.3788999915122986,1.7255440950393677
2,236,0.5713000297546387,0.9183011651039124,,
3,315,,,0.3068000078201294,1.978447675704956
3,315,0.5964499711990356,0.865654468536377,,
4,394,,,0.30239999294281006,2.02398943901062
4,394,0.5974000096321106,0.8480107188224792,,
5,473,,,0.2766999900341034,2.0264320373535156
5,473,0.6293500065803528,0.7785601019859314,,
6,552,,,0.34880000352859497,1.7188270092010498
6,552,0.625249981880188,0.7664070725440979,,
7,631,,,0.36719998717308044,1.8801186084747314
7,631,0.6463000178337097,0.7248858213424683,,
8,710,,,0.3513000011444092,1.9557597637176514
8,710,0.6594499945640564,0.7015179991722107,,
9,789,,,0.2904999852180481,2.1042873859405518
9,789,0.6528000235557556,0.708076000213623,,
10,868,,,0.3727000057697296,2.0708518028259277
10,868,0.6601999998092651,0.6735795736312866,,
11,947,,,0.30070000886917114,2.2794206142425537
11,947,0.6797999739646912,0.6569695472717285,,
12,1026,,,0.3176000118255615,2.1061441898345947
12,1026,0.6785500049591064,0.6485627293586731,,
13,1105,,,0.3280999958515167,2.1808624267578125
13,1105,0.7085000276565552,0.5789207816123962,,
14,1184,,,0.2976999878883362,2.3167309761047363
14,1184,0.7179499864578247,0.5507538914680481,,
15,1263,,,0.4147000014781952,1.9965710639953613
15,1263,0.7240999937057495,0.5390442609786987,,
16,1342,,,0.3747999966144562,2.06069278717041
16,1342,0.7170500159263611,0.5632323026657104,,
